"Case Number","Description","Date, Time","Weekday","Time","Crime Type","Police Beat","Zip Code","Address","Latitude","Longitude","Accuracy","URL"
150012254,"MALICIOUS MISCHIEF, BREAKING WINDOWS","2015-01-05 09:31:00",Monday,"09:31",VANDALISM,,,,37.779666,-122.413711,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Vandalism/9356048"
150013111,"PETTY THEFT FROM LOCKED AUTO","2015-01-05 09:30:00",Monday,"09:30",THEFT,,,,37.783724,-122.414243,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356052"
156004093,"GRAND THEFT FROM UNLOCKED AUTO","2015-01-05 09:30:00",Monday,"09:30",THEFT,,,,37.806027,-122.410314,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356051"
150014880,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY","2015-01-05 09:30:00",Monday,"09:30",BURGLARY,,,,37.712901,-122.449757,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Burglary/9356050"
156013969,"GRAND THEFT OF PROPERTY","2015-01-05 09:25:00",Monday,"09:25",THEFT,,,,37.781751,-122.405151,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356053"
150012226,"AGGRAVATED ASSAULT WITH BODILY FORCE (ARREST, BOOKED)","2015-01-05 09:15:00",Monday,"09:15","SIMPLE ASSAULT",,,,37.788541,-122.406,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Simple_Assault/9356054"
150012226,"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM (ARREST, BOOKED)","2015-01-05 09:15:00",Monday,"09:15",ROBBERY,,,,37.788541,-122.406,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Robbery/9356055"
150012765,"PETTY THEFT FROM A BUILDING","2015-01-05 09:05:00",Monday,"09:05",THEFT,,,,37.78289,-122.485947,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356056"
150016751,"THEFT OF CHECKS OR CREDIT CARDS (ARREST, BOOKED)","2015-01-05 09:00:00",Monday,"09:00",THEFT,,,,37.742105,-122.475459,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356058"
150012561,"THREATENING PHONE CALL(S)","2015-01-05 09:00:00",Monday,"09:00","SIMPLE ASSAULT",,,,37.775421,-122.403405,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Simple_Assault/9356057"
150012301,"PLANTING/CULTIVATING MARIJUANA","2015-01-05 08:58:00",Monday,"08:58",NARCOTICS,,,,37.716146,-122.470275,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Narcotics/9356059"
150013014,"GRAND THEFT FROM A BUILDING","2015-01-05 08:55:00",Monday,"08:55",THEFT,,,,37.747999,-122.420833,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356060"
156005160,"PETTY THEFT OF PROPERTY","2015-01-05 08:45:00",Monday,"08:45",THEFT,,,,37.746772,-122.435809,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356061"
150012072,"AGGRAVATED ASSAULT WITH A KNIFE (ARREST, BOOKED)","2015-01-05 08:41:00",Monday,"08:41","SIMPLE ASSAULT",,,,37.770897,-122.420303,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Simple_Assault/9356062"
156006657,"MALICIOUS MISCHIEF, VANDALISM","2015-01-05 08:30:00",Monday,"08:30",VANDALISM,,,,37.757385,-122.387323,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Vandalism/9356063"
150014501,"GRAND THEFT FROM A BUILDING","2015-01-05 08:30:00",Monday,"08:30",THEFT,,,,37.731394,-122.472725,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356064"
150053747,"STOLEN AUTOMOBILE","2015-01-05 08:15:00",Monday,"08:15","VEHICLE THEFT",,,,37.71215,-122.417145,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Vehicle_Theft/9356065"
150018939,"STOLEN TRUCK","2015-01-05 08:00:00",Monday,"08:00","VEHICLE THEFT",,,,37.715139,-122.389039,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Vehicle_Theft/9356068"
150018939,"STOLEN AND RECOVERED VEHICLE","2015-01-05 08:00:00",Monday,"08:00","VEHICLE THEFT",,,,37.715139,-122.389039,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Vehicle_Theft/9356066"
150012163,"AGGRAVATED ASSAULT WITH BODILY FORCE","2015-01-05 08:00:00",Monday,"08:00","SIMPLE ASSAULT",,,,37.750705,-122.417201,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Simple_Assault/9356067"
150012038,"POSSESSION OF MARIJUANA (ARREST, BOOKED)","2015-01-05 07:48:00",Monday,"07:48",NARCOTICS,,,,37.795504,-122.421609,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Narcotics/9356071"
150012038,"POSSESSION OF NARCOTICS PARAPHERNALIA (ARREST, BOOKED)","2015-01-05 07:48:00",Monday,"07:48",NARCOTICS,,,,37.795504,-122.421609,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Narcotics/9356070"
150012038,"POSSESSION OF METH-AMPHETAMINE (ARREST, BOOKED)","2015-01-05 07:48:00",Monday,"07:48",NARCOTICS,,,,37.795504,-122.421609,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Narcotics/9356069"
150011933,"GRAND THEFT FROM LOCKED AUTO","2015-01-05 07:05:00",Monday,"07:05",THEFT,,,,37.714532,-122.399129,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356072"
150011842,"THREATS AGAINST LIFE","2015-01-05 06:55:00",Monday,"06:55","SIMPLE ASSAULT",,,,37.782742,-122.414901,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Simple_Assault/9356074"
150011842,BATTERY,"2015-01-05 06:55:00",Monday,"06:55","SIMPLE ASSAULT",,,,37.782742,-122.414901,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Simple_Assault/9356073"
150011858,STALKING,"2015-01-05 06:53:00",Monday,"06:53","SIMPLE ASSAULT",,,,37.751838,-122.43748,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Simple_Assault/9356075"
150012135,"MALICIOUS MISCHIEF, VANDALISM","2015-01-05 06:30:00",Monday,"06:30",VANDALISM,,,,37.806804,-122.411325,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Vandalism/9356077"
150015571,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY","2015-01-05 06:30:00",Monday,"06:30",BURGLARY,,,,37.750272,-122.410802,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Burglary/9356076"
150014852,"STOLEN MOTORCYCLE","2015-01-05 06:00:00",Monday,"06:00","VEHICLE THEFT",,,,37.786101,-122.418091,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Vehicle_Theft/9356079"
156005580,"PETTY THEFT OF PROPERTY","2015-01-05 06:00:00",Monday,"06:00",THEFT,,,,37.783707,-122.407805,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356078"
150011773,"MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION (ARREST, BOOKED)","2015-01-05 05:56:00",Monday,"05:56","DISTURBING THE PEACE",,,,37.78212,-122.41567,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Disturbing_The_Peace/9356080"
150013531,"STOLEN AUTOMOBILE","2015-01-05 05:50:00",Monday,"05:50","VEHICLE THEFT",,,,37.755157,-122.391904,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Vehicle_Theft/9356081"
150011808,"AGGRAVATED ASSAULT WITH A DEADLY WEAPON","2015-01-05 05:50:00",Monday,"05:50","SIMPLE ASSAULT",,,,37.790788,-122.419039,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Simple_Assault/9356082"
150022980,"GRAND THEFT FROM LOCKED AUTO","2015-01-05 05:30:00",Monday,"05:30",THEFT,,,,37.772404,-122.454252,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356083"
150011795,"ARSON OF A VEHICLE","2015-01-05 05:30:00",Monday,"05:30",ARSON,,,,37.758541,-122.407001,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Arson/9356084"
156003982,"GRAND THEFT FROM LOCKED AUTO","2015-01-05 05:28:00",Monday,"05:28",THEFT,,,,37.72519,-122.461683,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356085"
156006970,"GRAND THEFT FROM LOCKED AUTO","2015-01-05 03:36:00",Monday,"03:36",THEFT,,,,37.755687,-122.457353,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356086"
150009273,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","2015-01-05 03:30:00",Monday,"03:30",VANDALISM,,,,37.775634,-122.412447,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Vandalism/9356087"
150011701,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY","2015-01-05 02:52:00",Monday,"02:52",BURGLARY,,,,37.771737,-122.408065,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Burglary/9356088"
150011660,"ROBBERY ON THE STREET, STRONGARM","2015-01-05 02:40:00",Monday,"02:40",ROBBERY,,,,37.780849,-122.404211,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Robbery/9356089"
150012787,"BURGLARY, UNLAWFUL ENTRY","2015-01-05 02:19:00",Monday,"02:19",BURGLARY,,,,37.788729,-122.421822,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Burglary/9356090"
156003409,"GRAND THEFT FROM LOCKED AUTO","2015-01-05 02:00:00",Monday,"02:00",THEFT,,,,37.799627,-122.430117,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356093"
156009708,"GRAND THEFT FROM LOCKED AUTO","2015-01-05 02:00:00",Monday,"02:00",THEFT,,,,37.781376,-122.433178,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356092"
150023916,"INFLICT INJURY ON COHABITEE","2015-01-05 02:00:00",Monday,"02:00","SIMPLE ASSAULT",,,,37.762833,-122.419386,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Simple_Assault/9356091"
150011610,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY","2015-01-05 01:12:00",Monday,"01:12",BURGLARY,,,,37.734429,-122.390965,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Burglary/9356094"
150013478,"STOLEN TRUCK","2015-01-05 01:00:00",Monday,"01:00","VEHICLE THEFT",,,,37.721303,-122.395098,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Vehicle_Theft/9356095"
150011557,"DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL (ARREST, BOOKED)","2015-01-05 00:58:00",Monday,"00:58",ALCOHOL,,,,37.759692,-122.428204,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Alcohol/9356096"
150011927,"ASSAULT TO RAPE WITH BODILY FORCE","2015-01-05 00:28:00",Monday,"00:28","AGGRAVATED ASSAULT",,,,37.806152,-122.418537,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Aggravated_Assault/9356098"
150011927,"FORCIBLE RAPE, BODILY FORCE","2015-01-05 00:28:00",Monday,"00:28","AGGRAVATED ASSAULT",,,,37.806152,-122.418537,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Aggravated_Assault/9356097"
150011494,ARSON,"2015-01-05 00:25:00",Monday,"00:25",ARSON,,,,37.8052,-122.412693,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Arson/9356099"
150011488,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES (ARREST, BOOKED)","2015-01-05 00:20:00",Monday,"00:20",VANDALISM,,,,37.713466,-122.408168,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Vandalism/9356100"
150011563,"FALSE IMPRISONMENT (ARREST, BOOKED)","2015-01-05 00:10:00",Monday,"00:10","SIMPLE ASSAULT",,,,37.794612,-122.403995,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Simple_Assault/9356102"
150011563,"INFLICT INJURY ON COHABITEE (ARREST, BOOKED)","2015-01-05 00:10:00",Monday,"00:10","SIMPLE ASSAULT",,,,37.794612,-122.403995,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Simple_Assault/9356101"
150101487,"GRAND THEFT FROM A BUILDING","2015-01-05 00:01:00",Monday,"00:01",THEFT,,,,37.72657,-122.387714,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356108"
150023609,"GRAND THEFT FROM LOCKED AUTO","2015-01-05 00:01:00",Monday,"00:01",THEFT,,,,37.769005,-122.438339,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356107"
150053725,"GRAND THEFT FROM LOCKED AUTO","2015-01-05 00:01:00",Monday,"00:01",THEFT,,,,37.783823,-122.421012,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356105"
156004162,"GRAND THEFT FROM LOCKED AUTO","2015-01-05 00:01:00",Monday,"00:01",THEFT,,,,37.769005,-122.438339,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Theft/9356104"
150098652,STALKING,"2015-01-05 00:01:00",Monday,"00:01","SIMPLE ASSAULT",,,,37.791566,-122.409144,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Simple_Assault/9356103"
150012044,"BURGLARY, UNLAWFUL ENTRY","2015-01-05 00:01:00",Monday,"00:01",BURGLARY,,,,37.775778,-122.442972,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-05/Burglary/9356106"
150011444,"ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE","2015-01-04 23:58:00",Sunday,"23:58",ROBBERY,,,,37.735093,-122.444701,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Robbery/9355676"
150011513,"UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE","2015-01-04 23:55:00",Sunday,"23:55",ALCOHOL,,,,37.760888,-122.435003,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Alcohol/9355677"
150011472,"FIRE, UNLAWFULLY CAUSING","2015-01-04 23:50:00",Sunday,"23:50",ARSON,,,,37.73041,-122.378494,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Arson/9355678"
150011400,"BATTERY (ARREST, BOOKED)","2015-01-04 23:15:00",Sunday,"23:15","SIMPLE ASSAULT",,,,37.783834,-122.412931,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Simple_Assault/9355679"
150011290,"POSSESSION OF CONTROLLED SUBSTANCE FOR SALE (ARREST, BOOKED)","2015-01-04 23:06:00",Sunday,"23:06",NARCOTICS,,,,37.732439,-122.40561,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Narcotics/9355681"
150011290,"POSSESSION OF MARIJUANA FOR SALES (ARREST, BOOKED)","2015-01-04 23:06:00",Sunday,"23:06",NARCOTICS,,,,37.732439,-122.40561,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Narcotics/9355680"
150011381,"BURGLARY, VEHICLE (ARREST MADE) (ARREST, BOOKED)","2015-01-04 23:00:00",Sunday,"23:00",BURGLARY,,,,37.765111,-122.432198,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Burglary/9355682"
150011422,"ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT) (ARREST, BOOKED)","2015-01-04 22:55:00",Sunday,"22:55","SIMPLE ASSAULT",,,,37.766726,-122.418038,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Simple_Assault/9355683"
150011347,BATTERY,"2015-01-04 22:50:00",Sunday,"22:50","SIMPLE ASSAULT",,,,37.798013,-122.405065,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-01-04/Simple_Assault/9355684"
